"Subject" "Activity" "variable" "mean" "median"
1 "SITTING" "fBodyAcc.mean...X" -0.979641238723404 -0.99492259
1 "SITTING" "fBodyAcc.mean...Y" -0.944084550425532 -0.98601658
1 "SITTING" "fBodyAcc.mean...Z" -0.959184889148936 -0.99126636
1 "SITTING" "fBodyAcc.meanFreq...X" -0.0495135975489362 -0.0039357994
1 "SITTING" "fBodyAcc.meanFreq...Y" 0.0759460768510638 0.058082378
1 "SITTING" "fBodyAcc.meanFreq...Z" 0.238829870148936 0.30457906
1 "SITTING" "fBodyAccJerk.mean...X" -0.986597022553191 -0.99398429
1 "SITTING" "fBodyAccJerk.mean...Y" -0.981579467021277 -0.99064115
1 "SITTING" "fBodyAccJerk.mean...Z" -0.986053092340425 -0.9917045
1 "SITTING" "fBodyAccJerk.meanFreq...X" 0.256610823568085 0.27396304
1 "SITTING" "fBodyAccJerk.meanFreq...Y" 0.0475437839595745 0.10453059
1 "SITTING" "fBodyAccJerk.meanFreq...Z" 0.0923920032553192 0.13977148
1 "SITTING" "fBodyGyro.mean...X" -0.976161464042553 -0.99696281
1 "SITTING" "fBodyGyro.mean...Y" -0.975838585319149 -0.99440343
1 "SITTING" "fBodyGyro.mean...Z" -0.951315544468085 -0.98624004
1 "SITTING" "fBodyGyro.meanFreq...X" 0.189153021260851 0.19645356
1 "SITTING" "fBodyGyro.meanFreq...Y" 0.0631270669787234 0.07556007
1 "SITTING" "fBodyGyro.meanFreq...Z" -0.0297839207446809 0.005401278
1 "SITTING" "fBodyAccMag.mean.." -0.947782922553192 -0.99363329
1 "SITTING" "fBodyAccMag.meanFreq.." 0.236655011680851 0.27378135
1 "SITTING" "fBodyBodyAccJerkMag.mean.." -0.985262126808511 -0.99422234
1 "SITTING" "fBodyBodyAccJerkMag.meanFreq.." 0.351852201957447 0.36795187
1 "SITTING" "fBodyBodyGyroMag.mean.." -0.958435589361702 -0.99216261
1 "SITTING" "fBodyBodyGyroMag.meanFreq.." -0.000262186717021277 -0.070297819
1 "SITTING" "fBodyBodyGyroJerkMag.mean.." -0.989797547234043 -0.99730213
1 "SITTING" "fBodyBodyGyroJerkMag.meanFreq.." 0.184775928085106 0.20406016
1 "SITTING" "tBodyAcc.std...X" -0.977229008297872 -0.99584854
1 "SITTING" "tBodyAcc.std...Y" -0.922618641914894 -0.98192492
1 "SITTING" "tBodyAcc.std...Z" -0.93958629106383 -0.99072156
1 "SITTING" "tGravityAcc.std...X" -0.968457145744681 -0.9956679
1 "SITTING" "tGravityAcc.std...Y" -0.935517055957447 -0.98811386
1 "SITTING" "tGravityAcc.std...Z" -0.949040933191489 -0.99381054
1 "SITTING" "tBodyAccJerk.std...X" -0.986430711276596 -0.99396693
1 "SITTING" "tBodyAccJerk.std...Y" -0.981371965319149 -0.99050354
1 "SITTING" "tBodyAccJerk.std...Z" -0.987910804468085 -0.99252449
1 "SITTING" "tBodyGyro.std...X" -0.977211283191489 -0.99735086
1 "SITTING" "tBodyGyro.std...Y" -0.966473895319149 -0.99424221
1 "SITTING" "tBodyGyro.std...Z" -0.941425920851064 -0.98448174
1 "SITTING" "tBodyGyroJerk.std...X" -0.99173159212766 -0.99824451
1 "SITTING" "tBodyGyroJerk.std...Y" -0.989518068510638 -0.99603909
1 "SITTING" "tBodyGyroJerk.std...Z" -0.987935806382979 -0.9953921
1 "SITTING" "tBodyAccMag.std.." -0.927078418723404 -0.99395981
1 "SITTING" "tGravityAccMag.std.." -0.927078418723404 -0.99395981
1 "SITTING" "tBodyAccJerkMag.std.." -0.984120024042553 -0.99477566
1 "SITTING" "tBodyGyroMag.std.." -0.934531840425532 -0.98688986
1 "SITTING" "tBodyGyroJerkMag.std.." -0.988308728510638 -0.9970187
1 "SITTING" "fBodyAcc.std...X" -0.976412313191489 -0.99613117
1 "SITTING" "fBodyAcc.std...Y" -0.917275006382979 -0.97902885
1 "SITTING" "fBodyAcc.std...Z" -0.934469558085106 -0.99145955
1 "SITTING" "fBodyAccJerk.std...X" -0.987492994468085 -0.99462966
1 "SITTING" "fBodyAccJerk.std...Y" -0.982513909574468 -0.99091043
1 "SITTING" "fBodyAccJerk.std...Z" -0.988339184893617 -0.99270028
1 "SITTING" "fBodyGyro.std...X" -0.977904227021277 -0.99735949
1 "SITTING" "fBodyGyro.std...Y" -0.962345042553192 -0.99445597
1 "SITTING" "fBodyGyro.std...Z" -0.94391784106383 -0.98440875
1 "SITTING" "fBodyAccMag.std.." -0.928444801702128 -0.99365615
1 "SITTING" "fBodyBodyAccJerkMag.std.." -0.981606177446808 -0.99345086
1 "SITTING" "fBodyBodyGyroMag.std.." -0.932198374893617 -0.98593044
1 "SITTING" "fBodyBodyGyroJerkMag.std.." -0.987049617234043 -0.99668215
1 "STANDING" "tBodyAcc.mean...X" 0.278917629056604 0.27796276
1 "STANDING" "tBodyAcc.mean...Y" -0.0161375901037736 -0.016979698
1 "STANDING" "tBodyAcc.mean...Z" -0.110601817735849 -0.11033551
1 "STANDING" "tGravityAcc.mean...X" 0.942952000377358 0.94489486
1 "STANDING" "tGravityAcc.mean...Y" -0.272983832264151 -0.29262334
1 "STANDING" "tGravityAcc.mean...Z" 0.0134905823226415 -0.0049576372
1 "STANDING" "tBodyAccJerk.mean...X" 0.0753766542264151 0.075779115
1 "STANDING" "tBodyAccJerk.mean...Y" 0.00797573092830189 0.0097634661
1 "STANDING" "tBodyAccJerk.mean...Z" -0.00368524954709434 -0.00053427358
1 "STANDING" "tBodyGyro.mean...X" -0.0239877347979245 -0.027372739
1 "STANDING" "tBodyGyro.mean...Y" -0.0593972209811321 -0.074796836
1 "STANDING" "tBodyGyro.mean...Z" 0.074800751 0.088998758
1 "STANDING" "tBodyGyroJerk.mean...X" -0.0996092129056604 -0.097980589
1 "STANDING" "tBodyGyroJerk.mean...Y" -0.0440627877924528 -0.040967713
1 "STANDING" "tBodyGyroJerk.mean...Z" -0.0489505466716981 -0.054341093
1 "STANDING" "tBodyAccMag.mean.." -0.984278207358491 -0.99161808
1 "STANDING" "tGravityAccMag.mean.." -0.984278207358491 -0.99161808
1 "STANDING" "tBodyAccJerkMag.mean.." -0.992367790566038 -0.99325987
1 "STANDING" "tBodyGyroMag.mean.." -0.976493792830189 -0.9882832
1 "STANDING" "tBodyGyroJerkMag.mean.." -0.994966790566038 -0.99680193
1 "STANDING" "fBodyAcc.mean...X" -0.995249932641509 -0.99665675
1 "STANDING" "fBodyAcc.mean...Y" -0.977070847735849 -0.98491607
1 "STANDING" "fBodyAcc.mean...Z" -0.985297098679245 -0.99025398
1 "STANDING" "fBodyAcc.meanFreq...X" 0.0865153619088679 0.086283203
1 "STANDING" "fBodyAcc.meanFreq...Y" 0.117478948718868 0.11041077
1 "STANDING" "fBodyAcc.meanFreq...Z" 0.244858585792453 0.313488
1 "STANDING" "fBodyAccJerk.mean...X" -0.994630797358491 -0.99517924
1 "STANDING" "fBodyAccJerk.mean...Y" -0.985418704528302 -0.98716991
1 "STANDING" "fBodyAccJerk.mean...Z" -0.990752166037736 -0.99062442
1 "STANDING" "fBodyAccJerk.meanFreq...X" 0.314182940150943 0.29814706
1 "STANDING" "fBodyAccJerk.meanFreq...Y" 0.0391618954943396 0.047867247
1 "STANDING" "fBodyAccJerk.meanFreq...Z" 0.138581478749057 0.15420968
1 "STANDING" "fBodyGyro.mean...X" -0.986386786037736 -0.99000732
1 "STANDING" "fBodyGyro.mean...Y" -0.988984455849057 -0.9929838
1 "STANDING" "fBodyGyro.mean...Z" -0.980773122830189 -0.98960578
1 "STANDING" "fBodyGyro.meanFreq...X" -0.120293020603774 -0.16758088
1 "STANDING" "fBodyGyro.meanFreq...Y" -0.0447191978169811 -0.066446932
1 "STANDING" "fBodyGyro.meanFreq...Z" 0.100607635139623 0.082240182
1 "STANDING" "fBodyAccMag.mean.." -0.985356361132075 -0.99343349
1 "STANDING" "fBodyAccMag.meanFreq.." 0.284555290773585 0.32290318
1 "STANDING" "fBodyBodyAccJerkMag.mean.." -0.99254247754717 -0.99429146
1 "STANDING" "fBodyBodyAccJerkMag.meanFreq.." 0.422220102264151 0.43731909
1 "STANDING" "fBodyBodyGyroMag.mean.." -0.984617623396226 -0.99162928
1 "STANDING" "fBodyBodyGyroMag.meanFreq.." -0.0286057725328302 -0.035684195
1 "STANDING" "fBodyBodyGyroJerkMag.mean.." -0.994815376981132 -0.9971196
1 "STANDING" "fBodyBodyGyroJerkMag.meanFreq.." 0.334498734301887 0.36676673
1 "STANDING" "tBodyAcc.std...X" -0.995759901509434 -0.99732847
1 "STANDING" "tBodyAcc.std...Y" -0.973190056415094 -0.98394066
1 "STANDING" "tBodyAcc.std...Z" -0.979775876981132 -0.99040744
1 "STANDING" "tGravityAcc.std...X" -0.99376298509434 -0.99812719
1 "STANDING" "tGravityAcc.std...Y" -0.981225957924528 -0.99113831
1 "STANDING" "tGravityAcc.std...Z" -0.976324063584906 -0.99126992
1 "STANDING" "tBodyAccJerk.std...X" -0.994604542264151 -0.99527281
1 "STANDING" "tBodyAccJerk.std...Y" -0.98564873245283 -0.98755275
1 "STANDING" "tBodyAccJerk.std...Z" -0.992251177358491 -0.99249984
1 "STANDING" "tBodyGyro.std...X" -0.987191946603774 -0.99088198
1 "STANDING" "tBodyGyro.std...Y" -0.98773444 -0.99289135
1 "STANDING" "tBodyGyro.std...Z" -0.980645626981132 -0.99220528
1 "STANDING" "tBodyGyroJerk.std...X" -0.992945106981132 -0.9946724
1 "STANDING" "tBodyGyroJerk.std...Y" -0.995137917358491 -0.99694746
1 "STANDING" "tBodyGyroJerk.std...Z" -0.992108467169811 -0.99451099
1 "STANDING" "tBodyAccMag.std.." -0.981942928867925 -0.99167203
1 "STANDING" "tGravityAccMag.std.." -0.981942928867925 -0.99167203
1 "STANDING" "tBodyAccJerkMag.std.." -0.993096209433962 -0.99456104
1 "STANDING" "tBodyGyroMag.std.." -0.978690028679245 -0.98949314
1 "STANDING" "tBodyGyroJerkMag.std.." -0.994733238679245 -0.99690792
1 "STANDING" "fBodyAcc.std...X" -0.99602834509434 -0.9976438
1 "STANDING" "fBodyAcc.std...Y" -0.972293102075472 -0.98324437
1 "STANDING" "fBodyAcc.std...Z" -0.977937259622642 -0.99022911
1 "STANDING" "fBodyAccJerk.std...X" -0.995073759245283 -0.99584517
1 "STANDING" "fBodyAccJerk.std...Y" -0.987018226792453 -0.98902632
1 "STANDING" "fBodyAccJerk.std...Z" -0.992349818113208 -0.99264733
1 "STANDING" "fBodyGyro.std...X" -0.987497128679245 -0.99137591
1 "STANDING" "fBodyGyro.std...Y" -0.987107727735849 -0.99331871
1 "STANDING" "fBodyGyro.std...Z" -0.98234533 -0.99340435
1 "STANDING" "fBodyAccMag.std.." -0.982313804716981 -0.99230619
1 "STANDING" "fBodyBodyAccJerkMag.std.." -0.992536003396226 -0.99419966
1 "STANDING" "fBodyBodyGyroMag.std.." -0.978466072075472 -0.98915429
1 "STANDING" "fBodyBodyGyroJerkMag.std.." -0.994671123207547 -0.99649329
1 "WALKING" "tBodyAcc.mean...X" 0.277330758736842 0.28111697
1 "WALKING" "tBodyAcc.mean...Y" -0.0173838185273684 -0.018079718
1 "WALKING" "tBodyAcc.mean...Z" -0.111148103547368 -0.11667518
1 "WALKING" "tGravityAcc.mean...X" 0.935223201473684 0.93547823
1 "WALKING" "tGravityAcc.mean...Y" -0.282165021263158 -0.29215241
1 "WALKING" "tGravityAcc.mean...Z" -0.068102864 -0.07477011
1 "WALKING" "tBodyAccJerk.mean...X" 0.0740416333157895 0.10305991
1 "WALKING" "tBodyAccJerk.mean...Y" 0.0282721095884211 0.03298224
1 "WALKING" "tBodyAccJerk.mean...Z" -0.00416840617789474 -0.018248447
1 "WALKING" "tBodyGyro.mean...X" -0.041830963526 -0.031907167
1 "WALKING" "tBodyGyro.mean...Y" -0.0695300462115789 -0.088300488
1 "WALKING" "tBodyGyro.mean...Z" 0.0849448173042105 0.095624123
1 "WALKING" "tBodyGyroJerk.mean...X" -0.0899975423705263 -0.095098173
1 "WALKING" "tBodyGyroJerk.mean...Y" -0.0398428709463158 -0.068501754
1 "WALKING" "tBodyGyroJerk.mean...Z" -0.0461309295021053 -0.059599967
1 "WALKING" "tBodyAccMag.mean.." -0.136971176556842 -0.12980293
1 "WALKING" "tGravityAccMag.mean.." -0.136971176556842 -0.12980293
1 "WALKING" "tBodyAccJerkMag.mean.." -0.141428809031579 -0.14261311
1 "WALKING" "tBodyGyroMag.mean.." -0.160979552536842 -0.16295412
1 "WALKING" "tBodyGyroJerkMag.mean.." -0.298703679084211 -0.2998284
1 "WALKING" "fBodyAcc.mean...X" -0.202794306326316 -0.20305522
1 "WALKING" "fBodyAcc.mean...Y" 0.0897127264021053 0.096949071
1 "WALKING" "fBodyAcc.mean...Z" -0.331560117789474 -0.33885732
1 "WALKING" "fBodyAcc.meanFreq...X" -0.207548374494737 -0.21796917
1 "WALKING" "fBodyAcc.meanFreq...Y" 0.113093646103158 0.098999221
1 "WALKING" "fBodyAcc.meanFreq...Z" 0.0497265196172632 0.04659611
1 "WALKING" "fBodyAccJerk.mean...X" -0.170546964549579 -0.18643004
1 "WALKING" "fBodyAccJerk.mean...Y" -0.0352255241130632 -0.033930655
1 "WALKING" "fBodyAccJerk.mean...Z" -0.468999224631579 -0.47693821
1 "WALKING" "fBodyAccJerk.meanFreq...X" -0.209261973376842 -0.21704186
1 "WALKING" "fBodyAccJerk.meanFreq...Y" -0.386237143210526 -0.40519527
1 "WALKING" "fBodyAccJerk.meanFreq...Z" -0.185530281244211 -0.19823344
1 "WALKING" "fBodyGyro.mean...X" -0.339032197115789 -0.34464097
1 "WALKING" "fBodyGyro.mean...Y" -0.103059416434737 -0.11043286
1 "WALKING" "fBodyGyro.mean...Z" -0.255940940315789 -0.26451336
1 "WALKING" "fBodyGyro.meanFreq...X" 0.0147844986621053 0.00718137
1 "WALKING" "fBodyGyro.meanFreq...Y" -0.0657746190010526 -0.062564688
1 "WALKING" "fBodyGyro.meanFreq...Z" 0.00077332156431579 -0.010705905
1 "WALKING" "fBodyAccMag.mean.." -0.128623450629474 -0.1417754
1 "WALKING" "fBodyAccMag.meanFreq.." 0.1906437244 0.182311
1 "WALKING" "fBodyBodyAccJerkMag.mean.." -0.0571194000343158 -0.070366165
1 "WALKING" "fBodyBodyAccJerkMag.meanFreq.." 0.0938221807027368 0.084847702
1 "WALKING" "fBodyBodyGyroMag.mean.." -0.199252568986316 -0.21629882
1 "WALKING" "fBodyBodyGyroMag.meanFreq.." 0.268844367525895 0.27144768
1 "WALKING" "fBodyBodyGyroJerkMag.mean.." -0.319308593778947 -0.33749876
1 "WALKING" "fBodyBodyGyroJerkMag.meanFreq.." 0.190663448793684 0.20754144
1 "WALKING" "tBodyAcc.std...X" -0.283740258842105 -0.28354284
1 "WALKING" "tBodyAcc.std...Y" 0.114461336747368 0.12280051
1 "WALKING" "tBodyAcc.std...Z" -0.260027902210526 -0.26290057
1 "WALKING" "tGravityAcc.std...X" -0.976609642526316 -0.98081539
1 "WALKING" "tGravityAcc.std...Y" -0.971305961473684 -0.97813557
1 "WALKING" "tGravityAcc.std...Z" -0.947717226105263 -0.9604447
1 "WALKING" "tBodyAccJerk.std...X" -0.113615602435789 -0.12475952
1 "WALKING" "tBodyAccJerk.std...Y" 0.0670025007684211 0.064997322
1 "WALKING" "tBodyAccJerk.std...Z" -0.502699788526316 -0.50771295
1 "WALKING" "tBodyGyro.std...X" -0.473535485894737 -0.48169764
1 "WALKING" "tBodyGyro.std...Y" -0.0546077686594737 -0.061530134
1 "WALKING" "tBodyGyro.std...Z" -0.344266629473684 -0.34813109
1 "WALKING" "tBodyGyroJerk.std...X" -0.207421854757895 -0.20600776
1 "WALKING" "tBodyGyroJerk.std...Y" -0.304468510631579 -0.31751946
1 "WALKING" "tBodyGyroJerk.std...Z" -0.404255452631579 -0.40483479
1 "WALKING" "tBodyAccMag.std.." -0.219688645631579 -0.22709309
1 "WALKING" "tGravityAccMag.std.." -0.219688645631579 -0.22709309
1 "WALKING" "tBodyAccJerkMag.std.." -0.0744717500625263 -0.089638008
1 "WALKING" "tBodyGyroMag.std.." -0.186978364526316 -0.19787858
1 "WALKING" "tBodyGyroJerkMag.std.." -0.325324878894737 -0.34550214
1 "WALKING" "fBodyAcc.std...X" -0.319134719578947 -0.33322517
1 "WALKING" "fBodyAcc.std...Y" 0.056040006846 0.057523212
1 "WALKING" "fBodyAcc.std...Z" -0.279686751494737 -0.29008541
1 "WALKING" "fBodyAccJerk.std...X" -0.133586606326316 -0.14292773
1 "WALKING" "fBodyAccJerk.std...Y" 0.106739857136 0.088189609
1 "WALKING" "fBodyAccJerk.std...Z" -0.534713440421053 -0.53872232
1 "WALKING" "fBodyGyro.std...X" -0.516691938736842 -0.52210762
1 "WALKING" "fBodyGyro.std...Y" -0.0335081597884211 -0.038552002
1 "WALKING" "fBodyGyro.std...Z" -0.436562227473684 -0.43832158
1 "WALKING" "fBodyAccMag.std.." -0.398032586842105 -0.39838608
1 "WALKING" "fBodyBodyAccJerkMag.std.." -0.103492403002105 -0.10569655
1 "WALKING" "fBodyBodyGyroMag.std.." -0.321017953894737 -0.32016764
1 "WALKING" "fBodyBodyGyroJerkMag.std.." -0.381601911789474 -0.39731236
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean...X" 0.289188320408163 0.28134949
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Y" -0.00991850461020408 -0.0075220252
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Z" -0.107566190908163 -0.1095915
1 "WALKING_DOWNSTAIRS" "tGravityAcc.mean...X" 0.931874418979592 0.93203802
1 "WALKING_DOWNSTAIRS" "tGravityAcc.mean...Y" -0.266610338979592 -0.26803107
1 "WALKING_DOWNSTAIRS" "tGravityAcc.mean...Z" -0.0621199585938775 -0.051933496
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...X" 0.0541553164897959 0.05093887
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...Y" 0.0296504490408163 0.030894841
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...Z" -0.0109719730183673 0.013159109
1 "WALKING_DOWNSTAIRS" "tBodyGyro.mean...X" -0.0350781902989796 -0.073423786
1 "WALKING_DOWNSTAIRS" "tBodyGyro.mean...Y" -0.0909371290204082 -0.098699586
1 "WALKING_DOWNSTAIRS" "tBodyGyro.mean...Z" 0.0900850142030612 0.099219275
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...X" -0.0739592036271429 -0.075669852
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...Y" -0.0439902783367347 -0.018155334
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...Z" -0.0270461061061224 -0.019976938
1 "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.0271882914106122 0.027670965
1 "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." 0.0271882914106122 0.027670965
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag.mean.." -0.0894474807979592 -0.10010991
1 "WALKING_DOWNSTAIRS" "tBodyGyroMag.mean.." -0.0757412543673469 -0.066701101
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag.mean.." -0.295463843346939 -0.30164164
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean...X" 0.0382291831510204 0.033945336
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean...Y" 0.00154990783591837 -0.032699168
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean...Z" -0.225574471693878 -0.23513046
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq...X" -0.307395198687755 -0.34356362
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq...Y" 0.0632200839346939 0.062968488
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq...Z" 0.294322700810612 0.29247761
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean...X" -0.0276638676122449 -0.043269084
